,Unnamed: 0,surface_x,surface_y,bh_x,bh_y,standardized_operator_name,gross_perforated_length,number_of_stages,total_proppant,total_fluid,true_vertical_depth,ffs_frac_type,proppant_intensity,frac_fluid_intensity,average_stage_length,average_proppant_per_stage,average_frac_fluid_per_stage,proppant_to_frac_fluid_ratio,frac_fluid_to_proppant_ratio,bin_lateral_length,pad_id,relative_well_position,batch_frac_classification,well_family_relationship,frac_type,frac_seasoning,horizontal_midpoint_x,horizontal_midpoint_y,horizontal_toe_x,horizontal_toe_y,OilPeakRate
9061,9061,796817.6547,1640677.397,804755.8096,1638630.631,1311,7776.574803,43.0,1132692.857,4922800.762,6550.19685,Slickwater Only,145.6544669,633.029436,180.85057680000003,26341.69435,114483.7386,0.230091144,4.346103828,1.5,111143,Standalone Well,Batch-Sequential Frac,Standalone Well,Primary Frac,53.0,800900.8313,1639293.975,804757.1331,1638630.049,231.8357502
9062,9062,796821.3168,1640699.012,804929.6037,1639699.9819999998,1311,7252.952756000001,40.0,1052134.2859999998,4527891.701,6144.685039,Slickwater Only,145.0628897,624.2825306,181.3238189,26303.35714,113197.2925,0.23236737,4.303530226,1.5,111143,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,54.0,801360.4583,1640322.314,804931.938,1639700.614,291.6337753
9072,9072,756328.4923,1628531.002,764283.1663,1627432.441,1080,7200.787402,42.0,953574.0,4644699.719,5896.653543,Undefined,132.426351,645.0266422,171.4473191,22704.14286,110588.0885,0.2053036919999999,4.870833012,1.5,113691,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,33.0,760715.7198,1628061.687,764284.8656,1627444.846,54.09524647
9077,9077,790586.066,1629575.398,780094.4244,1630526.243,1311,9818.897638,51.0,1398454.571,5167282.3,6191.929134,Slickwater Only,142.424804,526.258903,192.5274047,27420.67787,101319.2608,0.270636379,3.69499475,2.0,108276,Outer Well,Batch-Concurrent Frac,Sibling Well,Primary Frac,55.0,784959.0353,1629657.242,780095.0628,1630525.396,107.9956516
9078,9078,790589.199,1629593.928,780228.37,1631231.271,1311,9773.622047,50.0,1414302.8569999998,5279285.317,6146.653543,Slickwater Only,144.7061131,540.1564836,195.4724409,28286.05714,105585.7063,0.267896651,3.732782756,2.0,108276,Inner Well,Batch-Concurrent Frac,Sibling Well,Primary Frac,33.0,785124.4217,1630363.99,780227.4693,1631229.425,175.9881225
9079,9079,790592.8542,1629615.5469999998,780265.8063,1631561.77,1311,9829.724409,51.0,1400000.0,5262886.313999999,6562.007874,Slickwater Only,142.42515269999998,535.4052763999999,192.7396943,27450.98039,103193.8493,0.266013726,3.75920451,2.0,108276,Inner Well,Batch-Concurrent Frac,Sibling Well,Primary Frac,35.0,785150.9716,1630725.394,780265.1689,1631564.0869999998,271.4167087
9081,9081,796828.118,1640739.1530000002,786551.6485,1642896.519,1311,9542.322835,49.0,1387135.7140000002,5955596.922,5994.094488000001,Slickwater Only,145.3666721,624.1244427,194.7412823,28308.89213,121542.7943,0.232912961,4.293449343,2.0,111143,Standalone Well,Batch-Concurrent Frac,Standalone Well,Primary Frac,42.0,791340.5504,1642132.0159999998,786551.3762,1642899.331,152.0968489
9089,9089,787818.657,1637026.3909999998,795535.6132,1635132.461,1311,7547.244094,41.0,1079804.643,4376472.177,6148.622047,Slickwater Only,143.072707,579.876856,184.0791243,26336.69861,106743.2238,0.246729466,4.053022189,1.5,101320,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,33.0,791747.3832,1635772.494,795536.0564,1635133.185,131.4178775
9090,9090,787821.7940000001,1637044.9219999998,777999.4071,1638202.313,1311,7966.535433,44.0,1186448.571,4891816.257,5984.251969,Slickwater Only,148.9290522,614.0456285,181.0576235,26964.74026,111177.6422,0.242537436,4.123074843,1.5,101320,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,34.0,782679.5199,1637364.543,778001.3084,1638201.2880000002,146.9301815
9091,9091,787825.4538,1637066.543,795713.407,1636204.579,1311,7544.291339,41.0,1106950.0,4545282.703,6534.448819,Slickwater Only,146.7268363,602.4797426,184.00710580000003,26998.78049,110860.5537,0.2435382069999999,4.106131897,1.5,101320,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,21.0,791945.1638,1636869.7769999998,795712.9699,1636206.241,140.2750217
9107,9107,783786.3005,1543074.757,776590.1749,1544120.654,1080,6524.606299,40.0,1030382.0,5007477.275,6575.787402,Undefined,157.92247880000002,767.4757748,163.1151575,25759.55,125186.9319,0.2057686819999999,4.85982604,1.5,115444,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,100.0,779796.3877,1543664.866,776591.1841,1544120.9430000002,128.736131
9108,9108,797419.8591,1647624.0380000002,806090.6438,1645743.52,1311,8194.88189,43.0,1203303.643,5726785.886,6103.346457,Slickwater Only,146.8359958,698.824701,190.5786486,27983.80565,133181.0671,0.210118497,4.759219271,1.5,107104,Standalone Well,Batch-Sequential Frac,Standalone Well,Primary Frac,44.0,801974.2488,1646482.44,806088.0068,1645729.263,122.6547809
9134,9134,791395.5717,1611647.979,784358.6014,1613377.31,1311,6750.984251999999,33.0,954148.2143,4046802.626,6758.858268000001,Slickwater Only,141.3346823,599.4389077999999,204.5752804,28913.58225,122630.3826,0.235778293,4.241272546,1.5,113100,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,13.0,787711.2437,1612825.444,784357.2305,1613380.3180000002,144.61748269999998
9137,9137,773644.4461,1426468.794,784045.3705,1424582.342,1262,9627.952756,53.0,1382807.3569999998,9971415.043,7628.937008,Slickwater Only,143.6242358,1035.67345,181.659486,26090.70485,188139.9065,0.138677144,7.21099363,2.0,101086,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,82.0,779348.3892,1425296.11,784087.0859,1424382.515,181.7955213
9141,9141,791078.8344,1609856.082,783704.0632,1610412.573,1311,7066.929134,31.0,888925.7143,3752767.581,6757.874016,Slickwater Only,125.7867027,531.0322928,227.9654559,28675.02304,121057.0187,0.23687204,4.22168863,1.5,108503,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,21.0,787196.2807,1609817.534,783702.5493,1610414.457,199.3964594
9220,9220,984669.0837,640186.6053,979923.0569,641025.286,1349,4360.236220000001,12.0,290515.5714,1792296.2769999998,9603.346457,Slickwater Crosslink Hybrid,66.62840193,411.0548573,363.3530184,24209.63095,149358.0231,0.162091265,6.169363895,1.0,102368,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,198.0,982027.0869,640656.3137,979922.382,641023.9257,116.6891847
9222,9222,976975.6648,646901.6076,969749.8654,647897.08,1349,6916.338583,18.0,486469.2143,2681872.415,9624.015748,Undefined,70.33623477,387.758983,384.2410324,27026.06746,148992.9119,0.181391632,5.512933473,1.5,117318,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,23.0,973033.9844,647408.9021,969748.6566,647896.1638,150.2503804
9236,9236,940695.2595,640905.1541,945492.3825,640248.0017,1349,4447.834646,12.0,275365.7143,1531803.237,9185.03937,Slickwater Linear Hybrid,61.91006101,344.393027,370.6528871,22947.14286,127650.2698,0.179765722,5.562795792999999,1.0,100254,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,75.0,943430.1382,640491.7144,945491.7771,640246.1499,92.16350633
9237,9237,958042.8518,648014.5603,953173.5005,648655.0386,1349,4534.448819,12.0,270425.2143,1551627.74,9499.015748,Undefined,59.63794611,342.1866256,377.8707349,22535.43452,129302.3117,0.174284854,5.7377332370000005,1.0,109418,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,30.0,955266.7941,648406.6456,953173.6872,648653.2553,120.8501973
9244,9244,973792.4484,641893.3001,969010.4168,642580.4639,1349,4366.141732,12.0,277514.2857,1697296.763,9366.141732,Slickwater Linear Hybrid,63.56053072,388.7406472,363.8451444,23126.19048,141441.3969,0.163503691,6.116069875,1.0,108944,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,76.0,970926.8484,642238.9691,969011.1916,642582.5366,111.84727920000002
9245,9245,980612.7625,647628.4203,985318.3051,646841.5046,1349,4439.96063,15.0,463290.6429,1728325.553,7383.858268000001,Slickwater Crosslink Hybrid,104.3456646,389.2659637,295.9973753,30886.04286,115221.7035,0.2680575089999999,3.730542759,1.0,115944,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,73.0,983250.2929,647140.4246,985318.8223,646841.8135,220.6130103
9249,9249,989833.0135,634259.8221,994537.6177,633621.9032,1349,4383.858268,15.0,364477.8571,1088791.764,7270.669290999999,Crosslink Only,83.14088524,248.363815,292.25721780000003,24298.52381,72586.11757999999,0.334754422,2.9872645,1.0,100563,Inner Well,Batch-Sequential Frac,Sibling Well,Primary Frac,49.0,992407.8084,633854.2801,994539.5957,633620.5019,303.99933280000005
9251,9251,962938.7471,642876.0403,958206.0901,644016.9335,1349,4480.314961,20.0,413318.2857,2829618.438,9430.11811,Slickwater Crosslink Hybrid,92.25206026,631.566857,224.015748,20665.91429,141480.9219,0.146068558,6.846100295,1.0,113386,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,44.0,960317.177,643721.8345,958162.8835,644024.3243,144.4710938
9253,9253,982359.7373,663608.6939,977587.7451,664263.1764,1349,4422.244094,20.0,397011.1429,2646222.41,9977.362205,Slickwater Linear Hybrid,89.77594506,598.3890425,221.1122047,19850.55714,132311.1205,0.150029393,6.66536055,1.0,115485,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,103.0,979623.2581,663974.5324,977586.0103,664261.9545,162.27395369999996
9255,9255,973453.0651,636489.7404,978224.4283,635804.8468,1349,4445.866142,15.0,456076.0714,1657501.983,7264.763779999999,Slickwater Crosslink Hybrid,102.5843012,372.8186882,296.3910761,30405.07143,110500.1322,0.275158688,3.634266489,1.0,115041,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,57.0,976166.0898,636119.8977,978224.1945,635803.2186,219.085153
9260,9260,973017.1839,636551.1632,968239.9293,637167.9555,1349,4431.102362,15.0,363132.8571,1123050.46,7245.078740000001,Slickwater Crosslink Hybrid,81.9509069,253.44719390000003,295.40682410000005,24208.85714,74870.03063,0.323345095,3.092671009,1.0,109718,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,26.0,970191.7415,636904.6083,968241.1939,637169.3668,166.5659782
9265,9265,933116.5006,668910.2975,928435.0672,669787.0139,1349,4333.661417,20.0,405815.0714,2304199.357,8912.401575,Slickwater Linear Hybrid,93.64254203,531.6980573,216.6830709,20290.75357,115209.9678,0.176119775,5.67795412,1.0,106097,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,17.0,930378.0561,669344.8506,928438.0525,669788.1204,240.9955135
9267,9267,976386.7584,642651.9894,969166.006,643605.0984,1349,6832.677165000001,13.0,314751.2143,884319.0535,7329.724409,Crosslink Only,46.06557674,129.42497240000003,525.5905512,24211.63187,68024.54258,0.355924949,2.80958107,1.5,101036,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,51.0,972522.1563,643211.931,969167.0981,643606.8549,120.0116852
9270,9270,990160.2292,639681.2773,985379.6735,640327.5246,1349,4529.527559,10.0,229467.5,643622.0996,7297.244094,Crosslink Only,50.66036071,142.094753,452.9527559,22946.75,64362.20996,0.3565252029999999,2.804850794,1.0,115236,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,49.0,987300.3126,640013.3223,985378.419,640327.3187,144.2024271
9271,9271,960382.014,661206.7377,965071.6053,660567.8334,1349,4359.251969,20.0,410529.3571,2097258.825,9864.173228,Slickwater Linear Hybrid,94.17426662,481.1052079,217.9625984,20526.46786,104862.9412,0.195745681,5.108669546000001,1.0,108627,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,102.0,963006.5586,660836.299,965072.0608,660567.7369,141.5666886
9272,9272,925551.0796,653841.4216,920850.2242,654477.0635,1349,4359.251969,20.0,412694.0714,2098762.325,8730.314961,Slickwater Linear Hybrid,94.67084592,481.4501066000001,217.9625984,20634.70357,104938.1162,0.196636878,5.085516052,1.0,102492,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,62.0,922840.2753,654192.9161,920849.3064,654479.3454,209.30908
9280,9280,986006.4951,646797.5307,990787.7949,646156.5247,1349,4125.0,19.0,395745.0,2531801.392,9718.503937,Slickwater Crosslink Hybrid,95.93818182,613.7700344,217.1052632,20828.68421,133252.7048,0.156309654,6.397557497,1.0,102283,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,57.0,988865.6542,646418.8357,990788.4805,646157.3905,123.1585905
9283,9283,986594.6143,651036.7423,991368.196,650393.0916,1349,4583.661417,15.0,358561.0714,1127189.329,7430.118109999999,Crosslink Only,78.22590693,245.9146142,305.5774278,23904.07143,75145.95528,0.318101904,3.143646701,1.0,112230,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,70.0,989816.9924,650599.4512,991370.5523,650394.4093,313.71266760000003
9287,9287,975418.7051,653666.596,970638.4664,654314.4492,1349,4395.669290999999,20.0,429214.6429,2186972.838,9668.307087,Slickwater Linear Hybrid,97.64488964,497.52897530000007,219.7834646,21460.73214,109348.6419,0.1962597039999999,5.095289443,1.0,102253,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,55.0,972677.7425,654077.7457,970637.2144,654314.8997,134.7740685
9288,9288,986009.098,646815.9555,990802.109,646257.8473,1349,4325.787402,19.0,396825.3571,2446737.379,9504.92126,Slickwater Crosslink Hybrid,91.73482659,565.61665,227.6730211,20885.54511,128775.6515,0.162185513,6.165778811,1.0,102283,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,17.0,988678.5889,646563.2913,990802.1255,646255.7834,123.6063683
9289,9289,939103.0812,630219.5473,943906.4627,629371.7867,1349,4410.433071,20.0,415305.2143,2645307.54,8770.669291,Slickwater Crosslink Hybrid,94.16427086,599.7840797,220.5216535,20765.26071,132265.37699999998,0.156996949,6.369550512000001,1.0,115745,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,33.0,941804.3925,629784.5494,943904.8192,629373.6893,100.7143013
9291,9291,958799.48,654825.8163,948814.3874,656131.0217,1349,9579.724409,36.0,651000.0,4000820.762,9599.409449,Slickwater Linear Hybrid,67.95602589,417.6342232,266.1034558,18083.33333,111133.9101,0.1627166119999999,6.1456540120000005,2.0,110838,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,53.0,953462.4938,655524.1318,948811.6763,656131.1479999999,274.0142091
9296,9296,951391.2509,637814.8314,956250.1361,637152.3293,1349,4521.653543,30.0,624009.2857,4085654.12,9309.055118,Slickwater Crosslink Hybrid,138.00466569999998,903.5752256,150.72178480000002,20800.30952,136188.4707,0.152731795,6.547425197000001,1.0,100782,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,54.0,954348.3789,637412.5539,956252.0613,637151.5353,145.866094
9299,9299,982074.1542,661982.4977,977354.299,662641.8929999999,1349,4294.291339,20.0,407811.7857,2582486.4,9955.708661,Slickwater Linear Hybrid,94.96602665,601.3766175,214.7145669,20390.58929,129124.32,0.157914398,6.332544792,1.0,104672,Inner Well,Batch-Concurrent Frac,Infill Child Well,Primary Frac,47.0,979177.4419,662952.8063,977337.0927,663185.2083,110.684779
9300,9300,981901.9665,660741.2334,977249.0531,661976.8879999999,1349,4388.779528,20.0,408733.5714,2552307.895,9921.259843,Slickwater Linear Hybrid,93.1314888,581.5529987000001,219.4389764,20436.67857,127615.3948,0.1601427369999999,6.244429314,1.0,103265,Inner Well,Batch-Concurrent Frac,Sibling Well,Primary Frac,45.0,979168.5265,661728.1962,977251.5078,661976.7258,125.2953765
9305,9305,982069.8024,661951.7861,977415.7465,663153.3077,1349,4559.055118,20.0,405229.4286,2514503.389,9940.944882,Slickwater Linear Hybrid,88.88452059999999,551.5404671,227.9527559,20261.47143,125725.1695,0.161156843,6.205135195,1.0,104672,Inner Well,Batch-Sequential Frac,Sibling Well,Primary Frac,52.0,979284.2439,662331.4937,977350.0482,662611.7445,105.3852544
9306,9306,981897.6158,660710.5215,977165.6249,661362.057,1349,4382.874016,20.0,411810.2857,2557438.396,9897.637795,Slickwater Linear Hybrid,93.95896032,583.507166,219.1437008,20590.51429,127871.9198,0.161024518,6.210234383,1.0,103265,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,40.0,979116.7129,661096.1982,977166.2262,661361.9313,135.7062115
9311,9311,973610.7927,637582.8411,978386.8961,636931.5812,1349,4420.275591,15.0,365335.7143,1072445.166,7405.511811,Crosslink Only,82.64998569,242.6195254,294.6850394,24355.71429,71496.3444,0.340656777,2.935505958,1.0,107478,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,44.0,976435.464,637199.1219,978386.7555,636931.8435,142.4487125
9312,9312,963588.4755,644642.8479,968208.6866,643746.45,1349,4240.15748,15.0,362968.2857,1077901.167,7346.456693000001,Crosslink Only,85.60254835,254.2125315,282.6771654,24197.88571,71860.07779,0.336736147,2.969684155,1.0,116969,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,40.0,966158.3488,644001.2965,968207.9105,643746.6447,133.4771635
9313,9313,989927.9309,637982.3026,985202.0299,638911.8726,1349,4471.456693,15.0,364629.8571,1044545.162,7313.976378,Crosslink Only,81.54610056,233.6028801,298.0971129,24308.65714,69636.34411,0.349080031,2.864672602,1.0,116831,Inner Well,Batch-Sequential Frac,Infill Child Well,Primary Frac,30.0,987102.3674,638631.0209,985202.4231,638911.6796,113.7041843
9314,9314,989807.1288,637125.6429,984998.7956,637496.6986,1349,4476.377953,15.0,361555.2143,1030285.159,7145.669290999999,Crosslink Only,80.76959053,230.16044900000003,298.42519689999995,24103.68095,68685.6773,0.350927324,2.849592866,1.0,114624,Inner Well,Batch-Sequential Frac,Infill Child Well,Primary Frac,34.0,987011.3356,637234.7115,984995.805,637497.5202,324.56635980000004
9316,9316,988905.4766,630883.2691,983898.3894,631773.1295,1349,4759.84252,15.0,365159.2857,1057906.164,7210.629921,Slickwater Crosslink Hybrid,76.71667376,222.2565472,317.3228346,24343.95238,70527.07758,0.345171716,2.897108755,1.0,115450,Inner Well,Batch-Sequential Frac,Infill Child Well,Primary Frac,37.0,985966.0358,631497.4770000001,983896.6512,631772.4219,326.9245744
9318,9318,998095.7429,658440.9416,990824.2994,659530.5293,1349,6935.03937,35.0,708800.5,4562911.004,9972.440945,Slickwater Crosslink Hybrid,102.2056923,657.9502668,198.143982,20251.44286,130368.8858,0.155339541,6.437510982999999,1.5,108040,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,36.0,993958.6766,659101.0243,990821.4204,659530.0186,214.7193189
9319,9319,999010.392,663856.9302,991550.5519,664861.6647,1349,7197.834645999999,31.0,634033.7143,3953384.112,10125.98425,Slickwater Linear Hybrid,88.08672962,549.246309,232.1882144,20452.70046,127528.5197,0.160377463,6.235290053,1.5,108700,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,67.0,994865.2274,664404.9009,991552.1411,664861.2293,207.7000321
9321,9321,983146.9784,666310.3679,990610.6841,664944.844,1349,7093.503937,35.0,726812.7143,4564675.79,10143.70079,Slickwater Crosslink Hybrid,102.4617341,643.5008467,202.6715411,20766.07755,130419.3083,0.159225485,6.280401677,1.5,102164,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,39.0,987252.973,665398.9245,990613.2198,664945.4351,238.6594417
9322,9322,960912.4599,669046.936,952249.8504,670247.2215,1349,8119.094488,30.0,607543.3571,3192349.494,10011.81102,Slickwater Linear Hybrid,74.82895513,393.1903365,270.6364829,20251.44524,106411.6498,0.190312295,5.254521272,1.5,116988,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,26.0,955941.6771,669758.644,952250.2251,670246.8944,219.3619387
9323,9323,989622.3345,632842.7841,994346.2749,632211.7334,1349,4388.779528,15.0,363473.7143,1036562.66,7340.551181,Crosslink Only,82.81885932,236.1847192,292.5853018,24231.58095,69104.17736,0.350652911,2.8518228960000003,1.0,111979,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,30.0,992357.5357,632405.2979,994346.1168,632211.695,270.9363515
9324,9324,926752.8569,662551.1204,919412.6293,663721.4704,1349,6961.614173000001,30.0,612529.0714,3881696.601,8823.818898,Slickwater Crosslink Hybrid,87.9866445,557.5857128,232.0538058,20417.63571,129389.8867,0.157799317,6.337163054,1.5,111561,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,28.0,922733.9725,663238.5828,919415.2363,663721.1703,271.1319467
9335,9335,961198.3549,631487.976,956461.823,632132.5587,1349,4320.866142,20.0,415092.3571,2569859.802,9163.385827,Slickwater Crosslink Hybrid,96.06693277,594.7557082999999,216.0433071,20754.61786,128492.9901,0.1615233469999999,6.191055456,1.0,113044,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,14.0,958435.6519,631765.7657,956461.2713,632131.4444,112.5676365
9348,9348,949214.8486,665243.1602,939152.7203,666574.4333,1349,9612.204724,43.0,899571.4286,4747500.532,9916.338583,Slickwater Linear Hybrid,93.58637840000002,493.9033935,223.5396448,20920.26578,110406.9891,0.189483165,5.277513693,2.0,113876,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,28.0,943799.0098,665895.3007,939152.8831,666575.3365,149.02514209999998
9349,9349,918819.2661,658382.3055,925781.479,657448.5307,1349,6618.110236,30.0,623473.8571,3556568.55,8872.047244,Slickwater Linear Hybrid,94.20723362,537.3994121000001,220.6036745,20782.4619,118552.285,0.175302078,5.704438943,1.5,108954,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,22.0,922816.3404,657819.8227,925782.9606,657450.6761,215.2544381
9350,9350,963844.6062,646665.7554,968560.0761,646210.0034,1349,4352.362204999999,20.0,396841.5,2703680.918,9622.047244,Slickwater Linear Hybrid,91.17841791,621.1985103999999,217.6181102,19842.075,135184.0459,0.14677823,6.812999443,1.0,116893,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,39.0,966364.7092,646533.3668,968558.4106,646212.0982,157.0740719
9351,9351,918821.8752,658400.7666,910636.3891,659516.8275,1349,7015.748031,25.0,637265.5714,2812909.435,8922.244094,Slickwater Crosslink Hybrid,90.83358874,400.9421979,280.6299213,25490.62286,112516.3774,0.226550334,4.414030134,1.5,108954,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,29.0,914328.8271,659016.259,910636.4051,659515.3525,186.1476479
9358,9358,986225.9096,648376.432,991098.9994,648332.9069,1349,4631.8897640000005,15.0,365928.4286,1074723.666,7501.968504,Crosslink Only,79.00197268,232.0270389,308.7926509,24395.22857,71648.24442,0.340486062,2.936977787,1.0,105367,Inner Well,Batch-Sequential Frac,Sibling Well,Primary Frac,74.0,989030.1805,648628.9059,991096.2777,648333.9957,322.5845737
9359,9359,986223.3058,648358.0073,991201.1543,647209.8597,1349,4381.8897640000005,15.0,350193.5714,1068089.665,7444.881890000001,Crosslink Only,79.91838917,243.75092090000004,292.1259843,23346.2381,71205.97769,0.327869076,3.049997922,1.0,105367,Inner Well,Batch-Sequential Frac,Infill Child Well,Primary Frac,78.0,990004.655,647354.6852,991198.5316,647211.7895,321.2043354
9363,9363,982136.7773,662528.1352,977154.6666,663177.7729999999,1349,4769.685039,15.0,362575.7143,1118340.673,7646.653543,Slickwater Crosslink Hybrid,76.01669949,234.4684531,317.9790026,24171.71429,74556.04487,0.324208645,3.084433482,1.0,114779,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,65.0,979264.7487,662883.0815,977154.6969,663177.8541,216.6863431
9365,9365,960085.2294,658305.2649,970035.6507,656909.8203,1349,9447.834646,42.0,843587.5,5505877.637999999,9895.669291,Slickwater Linear Hybrid,89.28897802,582.7660881,224.94844390000003,20085.41667,131092.3247,0.15321581,6.52674161,2.0,116765,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,80.0,965545.6921,657501.7922,970037.5234,656909.6052,210.3497945
9367,9367,949833.6404,670464.444,939759.0205,672018.625,1349,9790.354331,43.0,880370.8571,4740858.412,9997.047244,Slickwater Linear Hybrid,89.9222671,484.2376744,227.6826589,20473.74086,110252.5212,0.185698618,5.385069682999999,2.0,114982,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,29.0,944076.319,671348.2337,939756.0353,672017.7552,173.19038390000003
9368,9368,882162.571,692711.7678,886672.8202,692054.7822,1205,3987.204724,12.0,318705.7143,1069593.166,9393.700787,Slickwater Crosslink Hybrid,79.93211694,268.256395,332.2670604,26558.80952,89132.76379,0.297969101,3.356052677,1.0,100724,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,105.0,884751.0701,692321.2369,886672.6856,692054.417,46.29762621
9371,9371,989484.4924,631603.3715,994408.4597,630775.2513,1349,4722.440945,15.0,361653.4286,1049939.162,7244.094488,Slickwater Crosslink Hybrid,76.58188483,222.3297601,314.8293963,24110.22857,69995.94417,0.344451794,2.903163857,1.0,103927,Inner Well,Batch-Sequential Frac,Infill Child Well,Primary Frac,22.0,992333.7525,631077.8634,994405.2914,630772.9291,358.29731739999994
9381,9381,960046.6998,656448.733,948928.4251,658184.4115,1349,9879.92126,43.0,882902.1429,4789510.336,9643.700787,Slickwater Linear Hybrid,89.36327726,484.7721161,229.7656107,20532.60797,111383.9613,0.184340795,5.424735204,2.0,116250,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,13.0,953963.3736,657522.7111,948926.0062,658183.2538,192.0745535
9383,9383,918688.5488,663849.0279999999,911370.5173,664812.2586,1349,6969.488189,25.0,635793.0714,3734617.078,8904.527559,Slickwater Linear Hybrid,91.22521686,535.8524151,278.7795276,25431.72286,149384.6831,0.170243176,5.873950576,1.5,109083,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,29.0,914531.9673,664426.4068,911347.3938,664814.2558,248.8045623
9384,9384,988777.0713,630049.5992,984003.5385,630693.4835,1349,4591.535433,15.0,361534.7857,1007655.156,7233.267717000001,Slickwater Crosslink Hybrid,78.73940885,219.4593008,306.1023622,24102.31905,67177.0104,0.358788206,2.78715962,1.0,101352,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,41.0,986055.2259,630407.9474,983875.732,630695.6552,318.406954
9386,9386,981730.5329,654988.7178,986412.7672,654686.4284,1349,4090.551181,20.0,411335.7143,2032220.815,8954.724409,Slickwater Crosslink Hybrid,100.5575278,496.8085533,204.5275591,20566.78571,101611.0407,0.202406998,4.940540643,1.0,102010,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,26.0,984473.0056,654929.7567,986411.3235,654688.0093,147.98811809999998
9387,9387,976725.961,663160.1927,971966.9966,664010.079,1349,4487.204724,16.0,402502.5,2165195.335,9986.220472,Slickwater Linear Hybrid,89.70005264,482.5265322,280.4502953,25156.40625,135324.7084,0.185896623,5.37933388,1.0,101834,Inner Well,Batch-Concurrent Frac,Sibling Well,Primary Frac,18.0,973910.0595,663804.6639,971968.496,664008.1307,142.4265697
9388,9388,976541.5458,661832.7275,971719.0061,662233.9033,1349,4480.314961,16.0,397007.7143,2190785.839,9920.275591,Slickwater Linear Hybrid,88.61156365,488.9803191,280.019685,24812.98214,136924.1149,0.181217035,5.518245012,1.0,101928,Outer Well,Batch-Concurrent Frac,Sibling Well,Primary Frac,44.0,973745.5072,661983.0196,971720.9936,662233.1653,125.701575
9389,9389,947780.4268,654872.4245,937515.3251,655859.1606,1349,9914.370079,43.0,843732.2143,5580830.114,9590.551181,Slickwater Linear Hybrid,85.10194875,562.9031466,230.566746,19621.6794,129786.7468,0.151183999,6.6144566,2.0,101541,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,12.0,942095.56,655250.4434,937517.253,655860.0389,212.7781282
